R00005	R00005	urea-1-carboxylate amidohydrolase; Urea-1-carboxylate + H2O <=> 2 CO2 + 2 Ammonia
R05643	R05643	2-formylbenzoate:NAD+ oxidoreductase; 2-Carboxybenzaldehyde + NAD+ + H2O <=> Phthalate + NADH + H+
R05644	R05644	ATP:D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase; ATP + D-glycero-beta-D-manno-Heptose 1-phosphate <=> Diphosphate + ADP-D-glycero-beta-D-manno-heptose
R05645	R05645	D-glycero-beta-D-manno-heptose-7-phosphate aldose-ketose-isomerase; Sedoheptulose 7-phosphate <=> D-glycero-beta-D-manno-Heptose 7-phosphate
R05646	R05646	ATP:D-glycero-beta-D-manno-heptose 7-phosphate 1-phosphotransferase; ATP + D-glycero-beta-D-manno-Heptose 7-phosphate <=> ADP + D-glycero-beta-D-manno-Heptose 1,7-bisphosphate
R05647	R05647	D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphohydrolase; D-glycero-beta-D-manno-Heptose 1,7-bisphosphate + H2O <=> D-glycero-beta-D-manno-Heptose 1-phosphate + Orthophosphate
R05648	R05648	cis-4-(1'-Hydroxynaphth-2'-yl)-2-oxobut-3-enoate + H2O <=> 1-Hydroxy-2-naphthaldehyde + Pyruvate
R05649	R05649	1-Hydroxy-2-naphthaldehyde + NAD+ + H2O <=> 1-Hydroxy-2-naphthoate + NADH + H+
R05650	R05650	Phenanthrene-3,4-diol + Oxygen <=> 2-Hydroxy-2H-benzo[h]chromene-2-carboxylate
R05651	R05651	acetyl-phosphate:sulfite S-acetyltransferase (acyl-phosphate hydrolysing, 2-oxoethyl-forming); Sulfoacetaldehyde + Orthophosphate <=> Acetyl phosphate + Sulfite
R05652	R05652	taurine:pyruvate aminotransferase; Taurine + Pyruvate <=> Sulfoacetaldehyde + L-Alanine
R05659	R05659	2,4,6/3,5-Pentahydroxycyclohexanone <=> D-2,3-Diketo 4-deoxy-epi-inositol + H2O
R05661	R05661	ATP:5-dehydro-2-deoxy-D-gluconate 6-phosphotransferase; 2-Deoxy-5-keto-D-gluconic acid + ATP <=> 2-Deoxy-5-keto-D-gluconic acid 6-phosphate + ADP
R05662	R05662	UDP-N-acetyl-D-glucosamine:N-acetyl-alpha-D-muramyl(oyl-L-Ala-gamma-D-Glu-L-Lys-D-Ala-D-Ala)-diphosphoundecaprenol 4-beta-N-acetylglucosaminlytransferase; MurAc(oyl-L-Ala-D-gamma-Glu-L-Lys-D-Ala-D-Ala)-diphospho-undecaprenol + UDP-N-acetyl-alpha-D-glucosamine <=> Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine + UDP
R05663	R05663	2-Methylbenzaldehyde + NADP+ + H2O <=> o-Toluate + NADPH + H+
R05664	R05664	3-Methylbenzaldehyde + NADP+ + H2O <=> m-Methylbenzoate + NADPH + H+
R05665	R05665	m-Methylbenzoate + NADH + Oxygen + H+ <=> 1,6-Dihydroxy-5-methylcyclohexa-2,4-dienecarboxylate + NAD+
R05666	R05666	toluene,NADH:oxygen oxidoreductase (4-hydroxylating); Toluene + NADH + H+ + Oxygen <=> 4-Cresol + NAD+ + H2O
R05679	R05679	sn-glycerol-1-phosphate:NAD 2-oxidoreductase; sn-Glycerol 1-phosphate + NAD+ <=> Glycerone phosphate + NADH + H+
R05680	R05680	sn-glycerol-1-phosphate:NADP 2-oxidoreductase; sn-Glycerol 1-phosphate + NADP+ <=> Glycerone phosphate + NADPH + H+
R05681	R05681	NAD-dependent threonine 4-phosphate dehydrogenase; O-Phospho-4-hydroxy-L-threonine + NAD+ <=> 2-Amino-3-oxo-4-phosphonooxybutyrate + NADH + H+
R05684	R05684	L-idonate:NADP oxidoreductase; L-Idonate + NADP+ <=> 5-Dehydro-D-gluconate + NADPH + H+
R05688	R05688	1-Deoxy-D-xylulose-5-phosphate isomeroreductase; 2-C-Methyl-D-erythritol 4-phosphate + NADP+ <=> 1-Deoxy-D-xylulose 5-phosphate + NADPH + H+
R05692	R05692	GDP-L-fucose:NADP+ 4-oxidoreductase (3,5-epimerizing); GDP-L-fucose + NADP+ <=> GDP-4-dehydro-6-deoxy-D-mannose + NADPH + H+
R05693	R05693	(R)-2-hydroxyacid:NAD+ oxidoreductase; (S)-3-Sulfolactate + NAD+ <=> 3-Sulfopyruvate + NADH + H+
R05699	R05699	vanillin:NAD oxidoreductase; 4-Hydroxy-3-methoxy-benzaldehyde + NAD+ + H2O <=> Vanillate + NADH + H+
R05700	R05700	Coniferyl aldehyde:NAD oxidoreductase; Coniferyl aldehyde + H2O + NAD+ <=> Ferulate + NADH + H+
R05701	R05701	Coniferyl aldehyde:NADP oxidoreductase; Coniferyl aldehyde + H2O + NADP+ <=> Ferulate + NADPH + H+
R05703	R05703	lanosterol D24-reductase; Lathosterol + NADP+ <=> 5alpha-Cholesta-7,24-dien-3beta-ol + NADPH + H+
R05704	R05704	glycine:acceptor oxidoreductase (hydrogen-cyanide-forming); Glycine + 2 Acceptor <=> Hydrogen cyanide + CO2 + 2 Reduced acceptor
R05705	R05705	FMNH2:NAD+ oxidoreductase; Reduced FMN + NAD+ <=> FMN + NADH + H+
R05706	R05706	FMNH2:NADP+ oxidoreductase; Reduced FMN + NADP+ <=> FMN + NADPH + H+
R05707	R05707	reduced-riboflavin:NADP+ oxidoreductase; Reduced riboflavin + NADP+ <=> Riboflavin + NADPH + H+
R05708	R05708	N6-dimethylallyladenine:(acceptor) oxidoreductase; N6-(Delta2-Isopentenyl)-adenine + H2O + Acceptor <=> Adenine + 3-Methyl-2-butenal + Reduced acceptor
R05712	R05712	ammonia:ferricytochrome-c oxidoreductase; Ammonia + 2 H2O + 6 Ferricytochrome c <=> Nitrite + 6 Ferrocytochrome c + 6 H+
R05717	R05717	AMP,sulfite:glutathione-disulfide oxidoreductase (adenosine-5'-phosphosulfate-forming); AMP + Sulfite + Glutathione disulfide <=> Adenylyl sulfate + 2 Glutathione
R05723	R05723	leucocyanidin,2-oxoglutarate:oxygen oxidoreductase; Leucocyanidin + 2-Oxoglutarate + Oxygen <=> Taxifolin + Succinate + CO2 + H2O
R05727	R05727	quinine,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase; Quinine + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 3-Hydroxyquinine + [Oxidized NADPH---hemoprotein reductase] + H2O
R05728	R05728	(E)-4-hydroxyphenylacetaldehyde oxime,[reduced NADPH-hemoprotein reductase]:oxygen oxidoreductase; (E)-4-Hydroxyphenylacetaldehyde oxime + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> (S)-4-Hydroxymandelonitrile + [Oxidized NADPH---hemoprotein reductase] + 2 H2O
R05731	R05731	obtusifoliol,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (14-methyl cleaving); Obtusifoliol + 3 [Reduced NADPH---hemoprotein reductase] + 3 Oxygen <=> 4alpha-Methyl-5alpha-ergosta-8,14,24(28)-trien-3beta-ol + Formate + 3 [Oxidized NADPH---hemoprotein reductase] + 4 H2O
R05745	R05745	ethylbenzene:(acceptor) oxidoreductase; Ethylbenzene + H2O + Acceptor <=> (S)-1-Phenylethanol + Reduced acceptor
R05759	R05759	S-adenosyl-L-methionine:jasmonate O-methyltransferase; S-Adenosyl-L-methionine + (-)-Jasmonic acid <=> S-Adenosyl-L-homocysteine + Methyl jasmonate
R05768	R05768	GDP-mannose:3-phosphoglycerate 3-a-D-mannosyltransferase; GDP-mannose + 3-Phospho-D-glycerate <=> GDP + 2-(alpha-D-Mannosyl)-3-phosphoglycerate
R05771	R05771	N-cyclohexylformamide hydro-lyase; N-Cyclohexylformamide <=> Cyclohexyl isocyanide + H2O
R05772	R05772	feruloyl-CoA hydro-lyase/vanillin-lyase (acetyl-CoA-forming); Feruloyl-CoA + H2O <=> 4-Hydroxy-3-methoxyphenyl-beta-hydroxypropanoyl-CoA
R05773	R05773	feruloyl-CoA hydro-lyase/vanillin-lyase (acetyl-CoA-forming); 4-Hydroxy-3-methoxyphenyl-beta-hydroxypropanoyl-CoA <=> 4-Hydroxy-3-methoxy-benzaldehyde + Acetyl-CoA
R05774	R05774	sulfopyruvate carboxy-lyase; 3-Sulfopyruvate <=> Sulfoacetaldehyde + CO2
R05775	R05775	UDP-6-sulfo-6-deoxyglucose sulfohydrolase; UDP-glucose + Sulfite <=> UDP-6-sulfoquinovose + H2O
R05776	R05776	S-adenosyl-L-methionine:24-methylenelophenol C-methyltransferase; S-Adenosyl-L-methionine + 24-Methylenelophenol <=> S-Adenosyl-L-homocysteine + 24-Ethylidenelophenol
R05783	R05783	mandelamide hydrolase; (R)-Mandelamide + H2O <=> (R)-Mandelate + Ammonia
R05784	R05784	limonene-1,2-epoxide hydrolase; Limonene-1,2-epoxide + H2O <=> Limonene-1,2-diol
R05789	R05789	(R)-2-phospho-3-sulfolactate phosphohydrolase; (2R)-O-Phospho-3-sulfolactate + H2O <=> (2R)-3-Sulfolactate + Orthophosphate
R05790	R05790	alpha-D-mannosyl-3-phosphoglycerate phosphohydrolase; 2-(alpha-D-Mannosyl)-3-phosphoglycerate + H2O <=> 2-O-(alpha-D-Mannosyl)-D-glycerate + Orthophosphate
R05794	R05794	CDP-diacylglycerol:choline O-phosphatidyltransferase; CDP-diacylglycerol + Choline <=> CMP + Phosphatidylcholine
R05795	R05795	ATP:1-phosphatidyl-1D-myo-inositol-4-phosphate 3-phosphotransferase; ATP + 1-Phosphatidyl-1D-myo-inositol 4-phosphate <=> ADP + 1-Phosphatidyl-1D-myo-inositol 3,4-bisphosphate
R05799	R05799	ATP:1D-myo-inositol-hexakisphosphate phosphotransferase; ATP + Phytic acid <=> ADP + 1-Diphosinositol pentakisphosphate
R05800	R05800	ATP:1D-myo-inositol-1,4,5-trisphosphate 6-phosphotransferase; ATP + D-myo-Inositol 1,4,5-trisphosphate <=> ADP + 1D-myo-Inositol 1,4,5,6-tetrakisphosphate
R05801	R05801	ATP:1D-myo-inositol-1,4,5,6-tetrakisphosphate 3-phosphotransferase; ATP + 1D-myo-Inositol 1,4,5,6-tetrakisphosphate <=> ADP + 1D-myo-Inositol 1,3,4,5,6-pentakisphosphate
R05802	R05802	ATP:1-phosphatidyl-1D-myo-inositol-3-phosphate 5-phosphotransferase; ATP + 1-Phosphatidyl-1D-myo-inositol 3-phosphate <=> ADP + 1-Phosphatidyl-1D-myo-inositol 3,5-bisphosphate
R05803	R05803	ATP:1-phosphatidyl-1D-myo-inositol-5-phosphate 4-phosphotransferase; ATP + 1-Phosphatidyl-1D-myo-inositol 5-phosphate <=> ADP + 1-Phosphatidyl-D-myo-inositol 4,5-bisphosphate
R05804	R05804	ADP:D-glucose 6-phosphotransferase; ADP + D-Glucose <=> AMP + D-Glucose 6-phosphate
R05805	R05805	ADP:D-fructose-6-phosphate 1-phosphotransferase; ADP + D-Fructose 6-phosphate <=> AMP + D-Fructose 1,6-bisphosphate
R05807	R05807	sirohydrochlorin cobalt-lyase; Sirohydrochlorin + Cobalt ion <=> Cobalt-sirohydrochlorin + 2 H+
R05808	R05808	S-adenosyl-L-methionine:cobalt-factor-II C20-methyltransferase; Cobalt-sirohydrochlorin + S-Adenosyl-L-methionine <=> Cobalt-factor III + S-Adenosyl-L-homocysteine
R05809	R05809	Cobalt-precorrin 3 + S-Adenosyl-L-methionine <=> Cobalt-precorrin 4 + S-Adenosyl-L-homocysteine
R05810	R05810	cobalt-precorrin-4 methyltransferase; Cobalt-precorrin 4 + S-Adenosyl-L-methionine <=> Cobalt-precorrin 5A + S-Adenosyl-L-homocysteine
R05812	R05812	cobalt-precorrin-6B:NAD+ oxidoreductase; Cobalt-precorrin 6 + NADH + H+ <=> Cobalt-dihydro-precorrin 6 + NAD+
R05813	R05813	Cobalt-dihydro-precorrin 6 + 2 S-Adenosyl-L-methionine <=> Cobalt-precorrin 8 + 2 S-Adenosyl-L-homocysteine + CO2
R05814	R05814	precorrin-8 11,12-methylmutase; Cobalt-precorrin 8 <=> Cobyrinate
R05815	R05815	cobyrinate:L-glutamine amido-ligase (ADP-forming); Cobyrinate + 2 L-Glutamine + 2 ATP + 2 H2O <=> Cob(II)yrinate a,c diamide + 2 L-Glutamate + 2 ADP + 2 Orthophosphate
R05817	R05817	(3Z)-phycocyanobilin:ferredoxin oxidoreductase; Biliverdin + 4 Reduced ferredoxin <=> (3Z)-Phycocyanobilin + 4 Oxidized ferredoxin
R05818	R05818	15,16-dihydrobiliverdin:ferredoxin oxidoreductase; Biliverdin + Reduced ferredoxin <=> 15,16-Dihydrobiliverdin + Oxidized ferredoxin
R05819	R05819	(3Z)-phycoerythrobilin:ferredoxin oxidoreductase; 15,16-Dihydrobiliverdin + Reduced ferredoxin <=> (3Z)-Phycoerythrobilin + Oxidized ferredoxin
R05820	R05820	protein-N(pi)-phosphohistidine:D-sorbitol 6-phosphotransferase; Protein N(pi)-phospho-L-histidine + D-Sorbitol <=> Protein histidine + Sorbitol 6-phosphate
R05835	R05835	Glycocholate amidohydrolase; Glycocholate + H2O <=> Cholic acid + Glycine
R05837	R05837	4-(phosphonooxy)threonine:NAD oxidoreductase; O-Phospho-4-hydroxy-L-threonine + NAD+ <=> 3-Amino-2-oxopropyl phosphate + NADH + H+ + CO2
R05838	R05838	pyridoxine 5'-phosphate synthase; 3-Amino-2-oxopropyl phosphate + 1-Deoxy-D-xylulose 5-phosphate <=> Pyridoxine phosphate + Orthophosphate + 2 H2O
R05841	R05841	phenylacetyl-CoA:glycine N-phenylacetyltransferase; Phenylacetyl-CoA + Glycine <=> Phenylacetylglycine + CoA
R05842	R05842	ethylene oxide hydrolase; Ethylene oxide + H2O <=> Ethylene glycol
R05843	R05843	Phenanthrene + NADH + H+ + Oxygen <=> (+)-cis-3,4-Dihydrophenanthrene-3,4-diol + NAD+
R05850	R05850	L-ribulose-5-phosphate 4-epimerase; L-Ribulose 5-phosphate <=> D-Xylulose 5-phosphate
R05864	R05864	4-Hydroxy-2-oxohexanoate hydro-lyase; 2-Hydroxy-cis-hex-2,4-dienoate + H2O <=> 4-Hydroxy-2-oxohexanoic acid
R05865	R05865	2-Hydroxy-5-methyl-cis,cis-muconic-semialdehyde formylhydrolase; 2-Hydroxy-5-methyl-cis,cis-muconic semialdehyde + H2O <=> Formate + 2-Hydroxy-cis-hex-2,4-dienoate
R05880	R05880	17-O-acetylnorajmaline O-acetylhydrolase; 17-O-Acetylnorajmaline + H2O <=> Norajmaline + Acetate
R05884	R05884	isopentenyl-diphosphate:ferredoxin oxidoreductase; 1-Hydroxy-2-methyl-2-butenyl 4-diphosphate + 2 Reduced ferredoxin + 2 H+ <=> Isopentenyl diphosphate + 2 Oxidized ferredoxin + H2O
R05901	R05901	UDP-N-acetyl-D-glucosamine + G00025 <=> UDP + G00209
R05904	R05904	GDP-L-fucose + G00103 <=> GDP + G00104
R05907	R05907	UDP-N-acetyl-D-galactosamine + [Protein]-L-serine <=> UDP + Tn antigen
R05908	R05908	UDP-D-galactose + Tn antigen <=> UDP + T antigen
R05909	R05909	UDP-N-acetyl-D-glucosamine + Tn antigen <=> UDP + G00028
R05910	R05910	UDP-N-acetyl-D-glucosamine + Tn antigen <=> UDP + G00031
R05911	R05911	CMP-N-acetylneuraminate + Tn antigen <=> CMP + Sialyl-Tn antigen
R05912	R05912	UDP-N-acetyl-D-glucosamine + T antigen <=> UDP + G00025
R05913	R05913	CMP-N-acetylneuraminate + T antigen <=> CMP + G00026
R05914	R05914	CMP-N-acetylneuraminate + G00026 <=> CMP + G00027
R05915	R05915	UDP-N-acetyl-D-glucosamine + G00028 <=> UDP + G00029
R05916	R05916	UDP-N-acetyl-D-glucosamine + 1-Phosphatidyl-D-myo-inositol <=> UDP + G00143
R05917	R05917	G00143 + H2O <=> G00144 + Acetate
R05918	R05918	G00144 + Palmitoyl-CoA <=> G00145 + CoA
R05919	R05919	Dolichyl phosphate D-mannose + G00145 <=> Dolichyl phosphate + G00146
R05920	R12351	G13128 + Phosphatidylethanolamine <=> G00148 + 1,2-Diacyl-sn-glycerol	
R05921	R12350	G00146 + Dolichyl phosphate D-mannose <=> G13128 + Dolichyl phosphate	
R05922	R05922	Dolichyl phosphate D-mannose + G00148 <=> Dolichyl phosphate + G00149
R05923	R05923	Phosphatidylethanolamine + G00140 <=> 1,2-Diacyl-sn-glycerol + G00141
R05924	R05924	Phosphatidylethanolamine + G00141 <=> 1,2-Diacyl-sn-glycerol + G00151
R05925	R05925	UDP-D-xylose + [Protein]-L-serine <=> UDP + G00154
R05926	R05926	UDP-D-galactose + G00154 <=> UDP + G00155
R05927	R05927	UDP-D-galactose + G00155 <=> UDP + G00156
R05928	R05928	UDP-D-glucuronate + G00156 <=> UDP + G00157
R05929	R05929	UDP-N-acetyl-D-galactosamine + G00157 <=> UDP + G00158
R05930	R05930	UDP-N-acetyl-D-glucosamine + G00157 <=> UDP + G00162
R05931	R05931	UDP-D-glucuronate + G00158 <=> UDP + G00159
R05932	R05932	UDP-N-acetyl-D-galactosamine + G00159 <=> UDP + G00160
R05933	R05933	UDP-D-glucuronate + G00160 <=> UDP + G00180
R05934	R05934	UDP-N-acetyl-D-galactosamine + G00180 <=> UDP + G00161
R05935	R05935	UDP-D-glucuronate + G00162 <=> UDP + G00163
R05936	R05936	UDP-N-acetyl-D-glucosamine + G00163 <=> UDP + G00164
R05937	R05937	CMP-N-acetylneuraminate + Lactosylceramide <=> CMP + GM3
R05938	R05938	UDP-N-acetyl-D-galactosamine + Lactosylceramide <=> UDP + GA2
R05939	R05939	UDP-N-acetyl-D-galactosamine + GM3 <=> UDP + GM2
R05940	R05940	CMP-N-acetylneuraminate + GM3 <=> CMP + GD3
R05941	R05941	UDP-D-galactose + GM2 <=> UDP + GM1
R05942	R05942	CMP-N-acetylneuraminate + GM1 <=> CMP + GD1a
R05943	R05943	CMP-N-acetylneuraminate + GD1a <=> CMP + GT1a
R05945	R05945	CMP-N-acetylneuraminate + GD1a <=> CMP + GT1aalpha
R05946	R05946	UDP-N-acetyl-D-galactosamine + GD3 <=> UDP + GD2
R05947	R05947	CMP-N-acetylneuraminate + GD3 <=> CMP + GT3
R05948	R05948	UDP-D-galactose + GD2 <=> UDP + GD1b
R05949	R05949	CMP-N-acetylneuraminate + GD1b <=> CMP + GT1b
R05950	R05950	CMP-N-acetylneuraminate + GT1b <=> CMP + GQ1b
R05951	R05951	CMP-N-acetylneuraminate + GT1b <=> CMP + GQ1balpha
R05952	R05952	UDP-N-acetyl-D-galactosamine + GT3 <=> UDP + GT2
R05953	R05953	UDP-D-galactose + GT2 <=> UDP + GT1c
R05956	R05956	UDP-D-galactose + GA2 <=> UDP + GA1
R05957	R05957	CMP-N-acetylneuraminate + GA1 <=> CMP + GM1b
R05958	R05958	CMP-N-acetylneuraminate + GM1b <=> CMP + GD1c
R05959	R05959	CMP-N-acetylneuraminate + GM1b <=> CMP + GD1a
R05960	R05960	UDP-D-galactose + Lactosylceramide <=> UDP + Globotriaosylceramide
R05961	R05961	H2O + Globotriaosylceramide <=> D-Galactose + Lactosylceramide
R05962	R05962	UDP-N-acetyl-D-galactosamine + Globotriaosylceramide <=> UDP + Globoside
R05963	R05963	H2O + Globoside <=> N-Acetyl-D-galactosamine + Globotriaosylceramide
R05964	R05964	UDP-D-galactose + Globoside <=> UDP + Galactosylgloboside
R05965	R05965	UDP-N-acetyl-D-galactosamine + Globoside <=> UDP + Forssman antigen, IV3GalNAca-Gb4Cer
R05966	R05966	H2O + Forssman antigen, IV3GalNAca-Gb4Cer <=> N-Acetyl-D-galactosamine + Globoside
R05967	R05967	CMP-N-acetylneuraminate + Galactosylgloboside <=> CMP + Monosialylgalactosylgloboside
R05968	R05968	GDP-L-fucose + Galactosylgloboside <=> GDP + Globo-H
R05969	R05969	UDP-N-acetyl-D-glucosamine:dolichyl-phosphate N-acetyl-D-glucosamine phosphotransferase; UDP-N-acetyl-alpha-D-glucosamine + Dolichyl phosphate <=> UMP + N-Acetyl-D-glucosaminyldiphosphodolichol
R05970	R05970	UDP-N-acetyl-D-glucosamine + N-Acetyl-D-glucosaminyldiphosphodolichol <=> UDP + N,N'-Chitobiosyldiphosphodolichol
R05971	R05971	UDP-N-acetyl-D-glucosamine + Lactosylceramide <=> UDP + Lc3Cer
R05972	R05972	GDP-D-mannose + N,N'-Chitobiosyldiphosphodolichol <=> GDP + G00003
R05973	R05973	GDP-D-mannose + G00003 <=> GDP + G00004
R05974	R05974	UDP-N-acetyl-D-glucosamine + nLc6Cer <=> UDP + nLc7Cer
R05975	R05975	UDP-N-acetyl-D-glucosamine + Paragloboside <=> UDP + nLc5Cer
R05976	R05976	Protein asparagine + G00008 <=> Dolichyl diphosphate + G00009
R05977	R05977	UDP-D-galactose + Lc3Cer <=> UDP + Paragloboside
R05978	R05978	UDP-D-galactose + Paragloboside <=> UDP + nLc5Cer
R05979	R05979	H2O + G00009 <=> beta-D-Glucose + G00171
R05980	R05980	Glc2Man9GlcNAc2-[protein] 3-alpha-glucohydrolase (configuration-inverting); H2O + G00171 <=> D-Glucose + G00010
R05981	R05981	GlcMan9GlcNAc2-[protein] 3-alpha-glucohydrolase (configuration-inverting); H2O + G00010 <=> D-Glucose + G00011
R05982	R06722	alpha 1,2-mannosyloligosaccharide alpha-D-mannohydrolase; H2O + G00011 <=> D-Mannose + G10694	
R05983	R05983	UDP-N-acetyl-D-glucosamine + G00012 <=> UDP + G00013
R05984	R05984	G00013 + 2 H2O <=> G00014 + 2 alpha-D-Mannose
R05985	R05985	UDP-N-acetyl-D-glucosamine + G00014 <=> UDP + G00015
R05986	R05986	UDP-N-acetyl-D-glucosamine + G00015 <=> UDP + G00019
R05987	R05987	UDP-N-acetyl-D-glucosamine + G00015 <=> UDP + G00020
R05988	R05988	GDP-L-fucose + G00015 <=> GDP + G00016
R05989	R05989	UDP-galactose:N-acetyl-beta-D-glucosaminylglycopeptide beta-1,4-galactosyltransferase; 2 UDP-D-galactose + G00016 <=> 2 UDP + G00017
R05990	R05990	CMP-N-acetylneuraminate:beta-D-galactosyl 1,4-N-acetyl-beta-D-glucosamine alpha 2,6-N-acetylneuraminyltransferase; 2 CMP-N-acetylneuraminate + G00017 <=> 2 CMP + DS 3
R05991	R05991	UDP-N-acetyl-D-glucosamine + G00020 <=> UDP + G00021
R05992	R05992	UDP-N-acetyl-D-glucosamine + G00021 <=> UDP + G00022
R06004	R06004	GM2 + H2O <=> GM3 + N-Acetyl-D-galactosamine
R06006	R06006	UDP-D-galactose + Lc3Cer <=> UDP + Lc4Cer
R06010	R06010	GM1 + H2O <=> GM2 + D-Galactose
R06015	R06015	GDP-L-fucose + G00015 <=> GDP + G00178
R06016	R06016	UDP-D-xylose + G00015 <=> UDP + G00179
R06024	R06024	GDP-L-fucose + Paragloboside <=> GDP + IV2Fuc-nLc4Cer
R06025	R06025	GDP-L-fucose + Paragloboside <=> GDP + III3Fuc-nLc4Cer
R06026	R06026	CMP-N-acetylneuraminate + Paragloboside <=> CMP + Sialyl-3-paragloboside
R06027	R06027	GDP-L-fucose + nLc5Cer <=> GDP + Type II B antigen
R06029	R06029	UDP-D-galactose + IV2Fuc-nLc4Cer <=> UDP + Type II B antigen
R06031	R06031	GDP-L-fucose + G00057 <=> GDP + Type IIIH glycolipid
R06032	R06032	CMP-N-acetylneuraminate + Sialyl-3-paragloboside <=> CMP + 3',8'-LD1
R06033	R06033	UDP-D-galactose + nLc5Cer <=> UDP + nLc6Cer
R06035	R06035	GDP-L-fucose + nLc6Cer <=> GDP + VI2Fuc-nLc6
R06037	R06037	CMP-N-acetylneuraminate + nLc6Cer <=> CMP + VI3NeuAc-nLc6Cer
R06038	R06038	GDP-L-fucose + nLc6Cer <=> GDP + V3Fuc-nLc6Cer
R06039	R06039	GDP-L-fucose + nLc8Cer <=> GDP + G00084
R06041	R06041	GDP-L-fucose + G00073 <=> GDP + G00074
R06066	R06066	sucrose:1,6-alpha-D-glucan 6-alpha-D-glucosyltransferase; 1,6-alpha-D-Glucan(n) + Sucrose <=> 1,6-alpha-D-Glucan(n+1) + D-Fructose
R06075	R06075	GDP-L-fucose + Sialyl-3-paragloboside <=> GDP + IV3NeuAc,III3Fuc-nLc4Cer
R06076	R06076	GDP-L-fucose + VI2Fuc-nLc6 <=> GDP + G00081
R06083	R06083	Xylan(n) + UDP-D-xylose <=> Xylan(n+1) + UDP
R06085	R06085	GDP-L-fucose + iso-nLc8Cer <=> GDP + Monofucosyllactoisooctaosylceramide
R06086	R06086	GDP-L-fucose + Monofucosyllactoisooctaosylceramide <=> GDP + G00079
R06087	R06087	Sucrose + H2O <=> D-Fructose + D-Glucose
R06088	R06088	Sucrose + H2O <=> beta-D-Fructose + alpha-D-Glucose
R06089	R06089	GDP-L-fucose + iso-nLc8Cer <=> GDP + Monofucosyllactoisooctaosylceramide
R06090	R06090	GDP-L-fucose + Monofucosyllactoisooctaosylceramide <=> GDP + G00079
R06091	R06091	Melibiose + H2O <=> D-Galactose + D-Glucose
R06095	R06095	GDP-L-fucose + IV2Fuc-nLc4Cer <=> GDP + III3,IV2Fuc-nLc4Cer
R06113	R06113	H2O + Trehalose 6-phosphate <=> D-Glucose + D-Glucose 6-phosphate
R06114	R06114	Lactose + H2O <=> D-Glucose + D-Galactose
R06117	R06117	(+)-trans-carveol: NAD+ oxidoreductase; (+)-trans-Carveol + NAD+ <=> (+)-(S)-Carvone + NADH + H+
R06120	R06120	geranyldiphosphate diphosphate lyase [(+)-(R)-limonene-forming]; Geranyl diphosphate <=> (R)-Limonene + Diphosphate
R06127	R06127	GDP-mannose:glycolipid 1,2-alpha-D-mannosyltransferase; G00005 + GDP-D-mannose <=> G10526 + GDP
R06128	R06128	GDP-mannose:glycolipid 1,2-alpha-D-mannosyltransferase; G10526 + GDP-D-mannose <=> G00006 + GDP
R06146	R06146	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone,acceptor:oxygen oxidoreductase (5-hydroxylating); 2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone + Reduced acceptor + Oxygen <=> 2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone + Acceptor + H2O
R06153	R06153	CMP-N-acetylneuraminate + Lc4Cer <=> CMP + 3'-isoLM1
R06154	R06154	methylamine:oxygen oxidoreductase (deaminating) (copper-containing); Methylamine + Oxygen + H2O <=> Formaldehyde + Ammonia + Hydrogen peroxide
R06155	R06155	GDP-L-fucose + Lc4Cer <=> GDP + Fuc-Lc4Cer
R06156	R06156	GDP-L-fucose + Lc4Cer <=> GDP + IV2Fuc-Lc4Cer
R06162	R06162	GDP-L-fucose + Type IA glycolipid <=> GDP + G00043
R06163	R06163	GDP-L-fucose + IV2Fuc-Lc4Cer <=> GDP + IV2Fuc,III4Fuc-Lc4Cer
R06164	R06164	GDP-L-fucose + Type IB glycolipid <=> GDP + G00040
R06165	R06165	GDP-L-fucose + 3'-isoLM1 <=> GDP + Fuc-3'-isoLM1
R06167	R06167	UDP-N-acetyl-D-galactosamine + IV2Fuc-Lc4Cer <=> UDP + Type IA glycolipid
R06168	R06168	UDP-D-galactose + IV2Fuc-Lc4Cer <=> UDP + Type IB glycolipid
R06169	R06169	UDP-D-galactose + Lc4Cer <=> UDP + G00038
R06170	R06170	Galactoside alpha-1,2-L-fucosyltransferase; GDP-L-fucose + G00038 <=> GDP + Type IB glycolipid
R06171	R06171	L-allo-threonine acetaldehyde-lyase (glycine-forming); L-Allothreonine <=> Glycine + Acetaldehyde
R06180	R06180	(R,R)-Tartaric acid + NAD+ <=> 2-Hydroxy-3-oxosuccinate + NADH + H+
R06187	R06187	UDP-N-acetyl-D-galactosamine + IV2Fuc-nLc4Cer <=> UDP + Type II A antigen
